Player,Team_x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,WS,WS/48,Pick,Pos,Weight,Age,Pre-Draft Team,Agility,Shuttle Run,Sprint,Standing Vertical,Max Vertical Leap,Max Bench Press,Body Fat Percentage,Hand Length,Hand Width,Heightw/oshoesinches,Heightw/shoesinches,Standing_Reach_inches,Wingspan_inches
Taurean Green,UF,39,33.4,3.3,9.1,0.366,2.3,5.9,0.384,4.4,4.9,0.886,3.2,1.6,0.4,2.6,3,4.7,1.3,0.1,13.3,,,,,,,,,,,,,,,,,,,-0.1,-0.066,52,PG,177,20,Florida,11.3,-,3.26,29,32.5,8,0.046,-,-,71,72.75,96,74.25
Solomon Hill,U of A,35,33,4.5,9.9,0.458,1.6,4.2,0.39,2.7,3.5,0.766,2.2,2.2,1.7,3.6,5.3,2.7,1.1,0.6,13.4,0.601,0.561,161.4,8.2,19.4,14,18.6,18.6,1.9,1.6,21.8,-2.3,1.5,113.9,92.7,21.1,402.8,20.6,3.5,0.072,23,SF,225,22,Arizona,10.77,2.91,3.19,29.5,37.5,14,0.076,9,10.5,77.5,79,103,81
Roy Hibbert,GU,34,26.3,5.3,8.6,0.609,0.1,0.1,1,2.7,4.2,0.646,1.7,2.7,2.2,4.1,6.4,1.9,0.5,2.2,13.4,0.682,0.671,135.8,14.7,18.6,16.8,9.3,11.6,1.2,11.3,22.9,-2.3,1.7,136,91.3,44.7,476.9,30.9,6.2,0.154,17,C,270,21,Georgetown,,,,,,,,,,,,,
Patrick O'Bryant,BU,25,25.7,5.3,9.6,0.552,0,0,0,2.8,4.1,0.676,2.1,3,2.9,5.4,8.3,0.8,0.9,2.7,13.4,0.579,0.552,122.8,12.9,22.8,18,7.5,15.2,2,11.1,26.2,-5.7,1.4,110.1,86.8,23.4,309.5,25.4,0.3,0.056,9,C,250,20,Bradley,12.68,-,3.63,26.5,30,13,0.1,-,-,83,84,113,89.75
Royce White,ISU,34,31.5,5.1,9.6,0.534,0.1,0.4,0.333,3,6,0.498,3.8,2.6,2.5,6.8,9.3,5,1.2,0.9,13.4,0.536,0.54,136.4,9.5,24.4,17.1,34.5,23.4,2.2,3,26.5,-1.6,1.4,103.3,94.2,9.1,458.9,22,0,-0.121,16,PF/SF,268,21,Iowa State,-,-,-,-,-,-,0.106,9.5,11.5,79,80,104.5,84
Xavier Henry,KU,36,27.5,4.5,9.8,0.458,1.9,4.6,0.418,2.5,3.2,0.783,1.9,1.8,1.2,3.2,4.4,1.5,1.5,0.5,13.4,0.591,0.555,165.8,5.1,11.5,8.6,9.8,14.4,3.2,1.8,23.4,-3.3,1.4,115.8,92.6,23.3,325.9,20.3,0.3,0.017,12,SF/SG,220,19,Kansas,11.1,-,3.18,28.5,36.5,8,0.047,8.75,10,77.25,78.5,105,83.25
Dominic McGuire,CSUF,32,32.9,4.8,10.2,0.471,0.6,2.1,0.299,3.3,5.7,0.586,3.7,2.8,2.2,7.6,9.8,3.2,0.9,3.6,13.5,0.526,0.502,135.5,7.2,21.9,15,22,22.5,1.5,10.1,25,-4.5,1.3,96.4,84.9,11.5,454.9,20,1.7,0.04,47,SF,235,21,Fresno State,10.95,-,3.25,28.5,34.5,12,0.047,-,-,79,80.25,104,82.5
Jordan Farmar,UCLA,37,30.4,4.6,11.4,0.41,1.7,5.1,0.333,2.5,3.4,0.717,3.6,1.7,0.6,2,2.6,5.1,1.1,0.2,13.5,,,,,,,,,,,,,,,,,,,3.9,0.111,26,PG,180,19,UCLA,11.07,-,3.17,33.5,42,11,0.044,-,-,72.75,74,94.5,75
Stephane Lasme,UMass,33,30.6,5,8.2,0.611,0,0,0,3.5,5.7,0.622,2.4,3.4,3.8,5.7,9.5,0.8,0.9,5.1,13.5,0.622,0.611,123.3,14.3,19.9,17.2,5.2,18,1.6,16,20.2,-5.6,1.7,116.8,87.7,29.1,532.2,25.6,0.3,0.041,46,F,215,24,Massachusetts,11.73,-,3.22,29.5,36,17,0.049,-,-,77,79,107,86
Meyers Leonard,U of I,32,31.8,5.3,9.1,0.584,0,0.3,0.091,2.9,4,0.732,2.1,2.9,2.3,5.9,8.2,1.3,0.5,1.9,13.6,0.618,0.586,140.7,9,23.7,16.3,9.9,16.2,0.9,6.9,22,-4.1,1.5,115.5,94.5,21,385.9,23,2.8,0.158,11,C,255,20,Illinois,11.34,-,3.41,30,32.5,19,0.057,9.25,11,83.75,85.25,108,87
James Augustine,U of I,33,32.7,5.3,8.5,0.624,0,0.1,0.5,3,4.6,0.651,2,2.5,3,6.1,9.1,1.8,1.4,0.7,13.6,0.638,0.625,177.5,11.4,22.6,17.1,11.4,16,2.7,2.6,20.3,-2.7,1.6,122.8,86.7,36.1,452.8,24,0.3,0.098,41,FC,235,22,Illinois,10.54,-,3.25,30,32.5,13,0.055,-,-,80.25,81.75,104,84.25
Charlie Villanueva,UConn,31,25.7,5.1,9.8,0.521,0.2,0.4,0.5,3.1,4.5,0.688,2.3,2.2,2.6,5.6,8.3,1.3,0.6,1.8,13.6,0.566,0.531,170.9,11.4,20.4,16.3,10.2,15.8,1.4,6.7,25.6,-5,1.4,111.6,88.9,22.7,365.6,22.6,4.9,0.112,7,PF,238,20,Connecticut,10.86,-,3.3,26,31,11,-%,-,-,81,81.5,109,84.25
Victor Oladipo,IU,36,28.4,5.1,8.4,0.599,0.8,1.9,0.441,2.7,3.6,0.746,2.3,2.5,2.6,3.7,6.3,2.1,2.2,0.8,13.6,0.671,0.648,178.6,11.8,13.9,12.9,15.2,18.3,4.5,2.8,22.2,-3.2,1.6,126,85.9,40.1,461.2,27,6.4,0.162,2,SG/PG,210,21,Indiana,10.69,3.14,3.25,33,42,15,0.0655,8.75,9.25,75.25,76.25,100.5,81.25
Hasheem Thabeet,UConn,36,31.8,4.9,7.7,0.64,0,0,0,3.7,5.9,0.627,1.9,2.5,3.7,7.1,10.8,0.5,0.6,4.2,13.6,0.646,0.64,126.8,13.4,21.8,17.9,2.9,15.2,1.1,11.9,19,-4.8,1.8,123.4,84.2,39.1,603.2,26.6,2.2,0.134,2,C,265,22,Connecticut,-,-,-,-,-,-,0.067,-,-,85.25,86.5,113,90.25
DaJuan Summers,GU,31,29.4,4.4,9.3,0.474,1.7,4.4,0.385,3.1,4.4,0.713,2.6,2.6,1.2,3,4.1,1.3,1.1,0.7,13.6,0.598,0.564,157.2,5.3,11.6,8.7,9.8,18.6,2.4,2.5,25.8,-6.3,1.5,107.3,98.4,8.9,233.8,18.5,0.2,0.049,35,PF,230,21,Georgetown,10.94,-,3.17,29.5,34.5,15,0.066,-,-,79.25,80.5,106.5,84.75
Markieff Morris,KU,38,24.4,5.1,8.7,0.589,0.7,1.6,0.424,2.7,4,0.682,2.1,2.8,2.7,5.6,8.3,1.4,0.8,1.1,13.6,0.643,0.627,169.5,13.7,25,19.7,10.8,16.2,1.9,4.9,25.5,-4.5,1.6,121.6,87.9,33.8,468.9,27,6.4,0.143,13,PF,245,21,Kansas,-,-,3.4,27,31.5,11,0.102,8.5,8.25,79.75,81.25,106.5,82.75
Derrick Brown,XAV,35,29.5,4.9,9.6,0.506,1.1,2.6,0.433,2.9,3.9,0.741,1.7,2.5,2.3,3.7,6.1,1.9,0.7,0.9,13.7,0.599,0.564,168,9.6,13.5,11.6,15,13.2,1.4,3,22.8,-1.5,1.4,122.6,92.9,29.7,374.4,22.3,2.3,0.076,40,PF,225,21,Xavier,11.26,-,3.13,30.5,35.5,20,0.086,-,-,79.5,80.5,107.5,86.5
John Henson,UNC,35,29.1,5.9,11.7,0.5,0,0,0,2,3.9,0.511,1.3,1.6,2.5,7.4,9.9,1.3,0.6,2.9,13.7,0.505,0.5,101.1,9,24.6,17.1,7.8,8.7,1.1,9.6,23,-1.4,1.2,110.2,85.1,25.2,496.6,23.6,3.8,0.127,14,C/PF,229,21,North Carolina,-,-,-,25.5,30,5,0.086,9.25,10,81,82.5,112,89
Doron Lamb,UK,40,31.2,4.4,9.2,0.474,1.9,4.1,0.466,3.1,3.7,0.826,1.1,1.8,0.4,2.3,2.7,1.5,0.5,0.1,13.7,0.624,0.577,176.6,1.5,7.8,4.9,8.8,9.1,0.9,0.2,19.7,-0.3,1.5,130.7,98.9,31.8,302.1,18.5,0.5,0.036,42,SG,210,20,Kentucky,11.12,-,3.41,29,33.5,2,0.067,8.5,8.75,75.25,76.75,98.5,78.75
Jeff Withey,KU,37,30.9,5,8.6,0.582,0,0,1,3.7,5.2,0.714,2,2.1,2.1,6.4,8.5,0.9,0.8,3.9,13.7,0.621,0.583,229.5,8.8,21,15.5,6.2,15.1,1.4,13.7,21.5,-4.2,1.6,117.8,83,34.8,551,25.4,2.3,0.171,39,C,230,23,Kansas,12.49,3.29,3.47,26.5,29,10,0.0865,9,9.75,82.75,84.5,110.5,86
Jarvis Varnado,MSU,36,31.5,5.1,8.8,0.582,0,0,0,3.6,5.8,0.61,2,2.4,3,7.3,10.2,0.9,0.7,4.7,13.8,0.575,0.549,120.3,11.5,21.1,16.6,6.5,12.9,1.3,15.8,22.7,-4,1.4,115,87.1,27.9,538.4,27.4,0.8,0.114,41,PF,230,22,Mississippi State,11.61,-,3.37,29.5,32.5,3,0.095,9.25,9.5,80.25,82,109.5,87.5
Brandon Rush,KU,38,32.4,4.9,11.1,0.443,2,4.6,0.431,2.1,3.1,0.681,2.1,1.6,1.5,4.1,5.6,2,0.4,0.9,13.8,0.557,0.531,163.3,6.4,13.2,10.1,12.8,13.2,1.7,3.4,23.2,-1.3,1.2,115.5,91.4,24.1,370.8,19.4,3.5,0.099,13,SG,220,22,Kansas,11.33,-,3.31,32.5,35,0,-%,-,-,77,78.5,104.5,83.25
Ekpe Udoh,BU,36,35.1,5.3,10.8,0.49,0.2,0.7,0.269,3.1,4.5,0.685,2.4,2.4,3.6,6.1,9.7,2.7,0.8,3.7,13.9,0.535,0.499,144.4,12.9,17.9,15.6,14.4,15.7,1.4,11.3,22.1,-1.8,1.3,114.5,92.2,22.3,570,23.5,3,0.193,6,PF/C,245,23,Baylor,11.15,-,3.29,31,33.5,10,0.08,9.5,8.75,80.75,81.75,106.5,88.5
Perry Jones,BU,30,33.9,5.4,9.8,0.549,0.1,0.3,0.2,3,4.6,0.664,2.2,2.4,2.7,4.5,7.2,1.2,0.5,0.9,13.9,0.539,0.514,149.9,11.1,18.7,15.1,8.6,12,1.7,2.1,23.5,-2.8,1.2,113.5,98.7,14.8,340.5,20.7,1.5,0.094,28,PF,235,20,Baylor,11.31,-,3.19,33,38.5,11,0.046,9.25,9.5,82.25,83.25,107,85.75
